customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalSpend,AvgChargesPerMonth,tenure_group
1830-GGFNM,Male,0,1,1,65,1,1,Fiber optic,1,1,1,1,0,0,Two year,0,Credit card (automatic),94.55,6078.75,0,6145.75,93.51923076923077,61+
4501-VCPFK,Male,0,0,0,26,0,0,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,35.75,1022.5,0,929.5,39.32692307692308,25-48
8871-JLMHM,Female,0,1,0,68,1,1,Fiber optic,0,1,1,1,0,0,Two year,0,Credit card (automatic),90.2,6297.65,0,6133.6,92.6125,61+
0225-ZORZP,Male,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,0,252.89999999999998,78.35000000000001,0-12
1530-ZTDOZ,Female,0,1,0,49,0,0,DSL,1,0,0,0,1,0,Month-to-month,0,Bank transfer (automatic),40.65,2070.75,0,1991.85,42.26020408163265,49-60
4654-DLAMQ,Female,1,1,0,64,1,0,Fiber optic,1,1,1,0,0,1,One year,0,Bank transfer (automatic),97.0,6430.9,0,6208.0,100.4828125,61+
7319-VENRZ,Male,0,0,0,7,1,0,DSL,0,0,1,1,1,0,Month-to-month,0,Bank transfer (automatic),64.3,445.95,0,450.09999999999997,63.707142857142856,0-12
5482-VXSXJ,Male,0,0,0,22,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.2,2157.3,0,2050.4,98.05909090909091,13-24
5012-YSPJJ,Male,0,1,1,31,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Mailed check,54.35,1647.0,0,1684.8500000000001,53.12903225806452,25-48
9239-ZBZZV,Female,0,0,0,6,0,0,DSL,0,0,1,0,1,1,Month-to-month,1,Electronic check,47.95,305.1,1,287.70000000000005,50.85,0-12
3308-MHOOC,Male,0,0,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.2,19.2,0,19.2,19.2,0-12
6400-BWQKW,Female,0,0,0,6,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,79.05,434.5,1,474.29999999999995,72.41666666666667,0-12
8104-OSKWT,Female,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,79.8,1001.2,0,957.5999999999999,83.43333333333334,0-12
4220-TINQT,Female,0,1,0,61,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,106.35,6751.35,0,6487.349999999999,110.67786885245903,61+
1985-MBRYP,Female,0,0,0,43,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.65,779.25,0,844.9499999999999,18.122093023255815,25-48
9667-EQRXU,Female,1,0,0,30,0,0,DSL,0,0,1,0,1,0,Month-to-month,1,Electronic check,40.3,1172.95,1,1209.0,39.098333333333336,25-48
4576-CSAJH,Male,0,0,0,22,1,0,DSL,0,1,0,1,0,0,One year,1,Credit card (automatic),55.15,1193.05,1,1213.3,54.22954545454545,13-24
1207-BLKSA,Female,0,1,1,52,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,23.05,1255.1,0,1198.6000000000001,24.13653846153846,49-60
5909-ECHUI,Female,0,0,0,1,1,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,56.25,56.25,1,56.25,56.25,0-12
2972-YDYUW,Female,0,0,0,57,1,1,Fiber optic,0,1,0,1,0,1,One year,0,Electronic check,94.7,5468.95,0,5397.900000000001,95.94649122807017,49-60
6034-ZRYCV,Female,0,1,0,72,0,0,DSL,0,1,1,0,1,1,Two year,1,Electronic check,54.2,3937.45,1,3902.4,54.68680555555555,61+
9919-YLNNG,Female,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,4359.599999999999,103.03571428571429,25-48
5384-ZTTWP,Female,0,1,1,15,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.8,272.95,0,297.0,18.196666666666665,13-24
2250-IVBWA,Male,0,1,1,64,1,0,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Electronic check,81.05,5135.35,0,5187.2,80.23984375,61+
9978-HYCIN,Male,1,1,1,47,1,0,Fiber optic,0,1,0,0,1,0,One year,1,Bank transfer (automatic),84.95,4018.05,0,3992.65,85.4904255319149,25-48
6022-KOUQO,Female,0,1,1,2,0,0,DSL,0,0,0,1,0,0,Month-to-month,0,Bank transfer (automatic),29.05,44.75,0,58.1,22.375,0-12
6380-ARCEH,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,20.2,20.2,0-12
6888-SBYAI,Male,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,50.7,50.7,0,50.7,50.7,0-12
6859-QNXIQ,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),113.1,8248.5,0,8143.2,114.5625,61+
4821-SJHJV,Female,0,1,1,32,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,0,Electronic check,89.6,2901.8,0,2867.2,90.68125,25-48
0723-DRCLG,Female,1,1,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.45,74.45,1,74.45,74.45,0-12
4872-JCVCA,Female,0,1,0,71,0,0,DSL,1,1,1,1,0,0,Two year,1,Bank transfer (automatic),47.6,3377.8,0,3379.6,47.57464788732395,61+
7993-NQLJE,Male,0,1,1,15,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,75.1,1151.55,0,1126.5,76.77,13-24
3946-JEWRQ,Male,0,1,0,47,1,1,Fiber optic,0,0,0,0,1,1,One year,1,Credit card (automatic),95.2,4563.0,0,4474.400000000001,97.08510638297872,25-48
4947-DSMXK,Male,0,1,1,34,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Bank transfer (automatic),97.7,3410.0,0,3321.8,100.29411764705883,25-48
3804-RVTGV,Male,0,1,1,50,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.85,5017.9,1,5192.5,100.35799999999999,49-60
0380-ZCSBI,Male,0,0,0,10,1,0,No,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),20.0,198.7,0,200.0,19.869999999999997,0-12
4145-UQXUQ,Female,1,0,0,8,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,92.1,729.95,1,736.8,91.24375,0-12
6082-OQFBA,Male,0,1,1,23,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.65,436.9,0,451.95,18.995652173913044,13-24
1475-VWVDO,Male,0,0,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,74.9,490.55,0,524.3000000000001,70.07857142857144,0-12
5016-IBERQ,Male,0,1,0,23,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Electronic check,84.25,1968.1,0,1937.75,85.5695652173913,13-24
3569-JFODW,Female,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),90.95,6652.45,0,6548.400000000001,92.39513888888888,61+
7927-AUXBZ,Female,0,0,0,30,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,0,Electronic check,85.15,2555.9,1,2554.5,85.19666666666667,25-48
4023-RTIQM,Female,1,1,0,31,0,0,DSL,1,1,1,0,0,1,One year,1,Credit card (automatic),50.4,1580.1,0,1562.3999999999999,50.97096774193548,25-48
5760-IFJOZ,Male,0,0,0,3,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Mailed check,107.95,313.6,0,323.85,104.53333333333335,0-12
0516-QREYC,Female,1,0,0,24,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.3,459.95,0,487.20000000000005,19.164583333333333,13-24
3658-QQJYD,Male,0,0,0,62,1,0,DSL,1,1,0,0,1,1,One year,1,Credit card (automatic),74.3,4698.05,0,4606.599999999999,75.775,61+
0117-LFRMW,Male,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1,1487.4,39.15675675675676,25-48
3970-XGJDU,Female,0,0,0,62,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.2,1123.65,0,1190.3999999999999,18.123387096774195,61+
5108-ADXWO,Male,0,0,0,11,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,73.5,791.75,1,808.5,71.97727272727273,0-12
4439-YRNVD,Female,0,0,0,10,0,0,DSL,0,1,0,1,0,0,Month-to-month,0,Electronic check,36.25,374.0,0,362.5,37.4,0-12
0402-CQAJN,Female,0,0,0,37,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),101.9,3545.35,1,3770.3,95.82027027027027,25-48
5334-AFQJB,Male,1,0,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.1,1789.9,0,1807.2,24.859722222222224,61+
2916-BQZLN,Male,0,0,0,19,1,1,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Electronic check,84.75,1651.95,0,1610.25,86.94473684210527,13-24
4588-YBNIB,Female,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.6,19.6,1,19.6,19.6,0-12
2474-LCNUE,Female,0,1,0,23,1,1,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),73.65,1642.75,0,1693.95,71.42391304347827,13-24
9360-AHGNL,Female,1,1,0,43,1,1,Fiber optic,1,0,1,1,1,1,One year,1,Mailed check,109.55,4830.25,1,4710.65,112.3313953488372,25-48
2379-GYFLQ,Male,0,0,0,46,1,1,Fiber optic,0,1,1,0,1,0,One year,1,Credit card (automatic),94.9,4422.95,0,4365.400000000001,96.15108695652174,25-48
8735-NBLWT,Male,0,0,1,9,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.4,184.1,0,183.6,20.455555555555556,0-12
1089-XZWHH,Female,0,1,1,24,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.7,494.05,0,472.79999999999995,20.585416666666667,13-24
2754-SDJRD,Female,1,0,0,8,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),100.15,908.55,0,801.2,113.56875,0-12
8734-DKSTZ,Female,0,1,1,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,85.95,858.6,0,859.5,85.86,0-12
5846-NEQVZ,Male,0,1,1,71,1,0,DSL,1,0,1,1,0,1,Two year,1,Credit card (automatic),70.85,4973.4,0,5030.349999999999,70.04788732394366,61+
6637-KYRCV,Female,0,1,1,5,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,30.5,167.2,0,152.5,33.44,0-12
2479-BRAMR,Male,1,1,0,41,1,1,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),83.75,3273.55,1,3433.75,79.84268292682927,25-48
7162-WPHPM,Male,0,1,1,58,1,1,DSL,1,1,1,1,0,0,Two year,0,Credit card (automatic),71.6,4230.25,0,4152.799999999999,72.9353448275862,49-60
2988-PLAHS,Female,0,0,0,3,1,0,DSL,0,0,1,0,1,1,One year,1,Electronic check,69.95,220.45,0,209.85000000000002,73.48333333333333,0-12
2626-VEEWG,Male,0,1,1,67,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.4,1284.2,0,1299.8,19.16716417910448,61+
6549-NNDYT,Female,0,0,0,13,0,0,DSL,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),30.85,394.1,0,401.05,30.315384615384616,13-24
6469-MRVET,Male,0,1,1,1,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.2,20.2,0,20.2,20.2,0-12
9028-LIHRP,Male,0,1,1,71,1,0,Fiber optic,1,1,1,1,1,0,Two year,0,Credit card (automatic),100.2,7209.0,0,7114.2,101.53521126760563,61+
5515-RUGKN,Male,0,0,0,8,1,0,DSL,0,0,0,0,0,1,Month-to-month,1,Credit card (automatic),54.75,438.05,0,438.0,54.75625,0-12
3736-BLEPA,Male,0,0,0,28,1,0,Fiber optic,0,1,0,1,1,0,One year,1,Bank transfer (automatic),91.25,2483.65,0,2555.0,88.70178571428572,25-48
7161-DFHUF,Female,0,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,23.85,1672.1,0,1693.3500000000001,23.55070422535211,61+
8199-ZLLSA,Male,0,0,0,67,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),118.35,7804.15,1,7929.45,116.47985074626865,61+
1187-WILMM,Male,0,1,1,63,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),89.4,5597.65,0,5632.200000000001,88.8515873015873,61+
7563-BIUPC,Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.6,415.55,1,403.0,83.11,0-12
3714-XPXBW,Female,0,0,0,37,1,1,DSL,1,1,1,1,1,0,Month-to-month,1,Credit card (automatic),78.9,2976.95,0,2919.3,80.4581081081081,25-48
7409-JURKQ,Female,0,1,0,53,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),111.8,5809.75,0,5925.4,109.61792452830188,49-60
3945-GFWQL,Female,0,0,1,12,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.55,480.6,1,534.5999999999999,40.050000000000004,0-12
7706-YLMQA,Female,0,0,0,70,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.7,1341.5,0,1379.0,19.164285714285715,61+
0404-SWRVG,Male,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,223.20000000000002,76.51666666666667,0-12
4559-UWIHT,Male,0,1,0,14,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,82.65,1185.0,0,1157.1000000000001,84.64285714285714,13-24
4825-XJGDM,Female,0,0,0,61,0,0,DSL,1,1,1,1,0,0,One year,0,Credit card (automatic),43.7,2696.55,0,2665.7000000000003,44.205737704918036,61+
7228-OMTPN,Male,0,0,0,4,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,88.45,370.65,1,353.8,92.6625,0-12
